initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
2.5,0.0015,445788085.5839581,470825386.0372651,25037300.4533,445788085.5839581,470825386.0372651,25037300.4533
3.0,0.0015,282808452.7963194,301507313.7637041,18698860.9674,282808452.7963194,301507313.7637041,18698860.9674
3.0,0.002,290011145.05798143,309083908.91813344,19072763.8602,290011145.05798143,309083908.91813344,19072763.8602
3.0,0.0025,293928074.15986854,315462292.90416723,21534218.7443,293928074.15986854,315462292.90416723,21534218.7443
3.0,0.003,298682882.32677746,319654694.7802662,20971812.4535,298682882.32677746,319654694.7802662,20971812.4535
3.5,0.0015,195373338.2259096,208368676.6194467,12995338.3935,195373338.2259096,208368676.6194467,12995338.3935
3.5,0.002,203650671.3537016,213626903.61061817,9976232.2569,203650671.3537016,213626903.61061817,9976232.2569
3.5,0.0025,208396674.4421536,218097948.8038056,9701274.3617,208396674.4421536,218097948.8038056,9701274.3617
3.5,0.003,211477039.94503823,222055681.66701055,10578641.722,211477039.94503823,222055681.66701055,10578641.722
3.5,0.0035,214580126.2531496,226177596.09408823,11597469.8409,214580126.2531496,226177596.09408823,11597469.8409
3.5,0.004,216991131.36101133,230086699.3020668,13095567.9411,216991131.36101133,230086699.3020668,13095567.9411
3.5,0.0045,219283256.65187117,232644199.4252855,13360942.7734,219283256.65187117,232644199.4252855,13360942.7734
3.5,0.005,221713979.1857047,235000638.3650006,13286659.1793,221713979.1857047,235000638.3650006,13286659.1793
3.5,0.0055,224321965.81051907,225623429.71126565,1301463.9007,224321965.81051907,225623429.71126565,1301463.9007
4.0,0.0015,142534394.15385938,152872422.32472953,10338028.1709,142534394.15385938,152872422.32472953,10338028.1709
4.0,0.002,148272165.38502884,156077195.8611125,7805030.4761,148272165.38502884,156077195.8611125,7805030.4761
4.0,0.0025,152947809.22719774,158430352.32965448,5482543.1025,152947809.22719774,158430352.32965448,5482543.1025
4.0,0.003,156790662.48628247,161233922.2674158,4443259.7811,156790662.48628247,161233922.2674158,4443259.7811
4.0,0.0035,159038147.2912524,165135868.17455402,6097720.8833,159038147.2912524,165135868.17455402,6097720.8833
4.0,0.004,160893556.0559276,167612946.23940602,6719390.1835,160893556.0559276,167612946.23940602,6719390.1835
4.0,0.0045,162327727.905363,169728944.47711498,7401216.5718,162327727.905363,169728944.47711498,7401216.5718
4.0,0.005,163621315.32759243,171767362.9085516,8146047.581,163621315.32759243,171767362.9085516,8146047.581
4.0,0.0055,165121313.11078683,173885585.34958538,8764272.2388,165121313.11078683,173885585.34958538,8764272.2388
4.0,0.006,166490503.6891164,175974114.6574015,9483610.9683,166490503.6891164,175974114.6574015,9483610.9683
4.0,0.0065,167939289.46744138,178004464.18904072,10065174.7216,167939289.46744138,178004464.18904072,10065174.7216
4.0,0.007,169761617.4160302,179807487.7487434,10045870.3327,169761617.4160302,179807487.7487434,10045870.3327
4.0,0.0075,171273753.6113581,181570789.59138185,10297035.98,171273753.6113581,181570789.59138185,10297035.98
4.0,0.008,173118736.6257774,182840929.85171428,9722193.2259,173118736.6257774,182840929.85171428,9722193.2259
4.0,0.0085,175034634.31311926,176230197.10416913,1195562.791,175034634.31311926,176230197.10416913,1195562.791
4.5,0.0015,108776219.53518526,117302721.12754412,8526501.5924,108776219.53518526,117302721.12754412,8526501.5924
4.5,0.002,112623121.72609869,119536902.012333,6913780.2862,112623121.72609869,119536902.012333,6913780.2862
4.5,0.0025,115948260.41547632,121298431.17932658,5350170.7639,115948260.41547632,121298431.17932658,5350170.7639
4.5,0.003,119012151.74953984,122694924.22816011,3682772.4786,119012151.74953984,122694924.22816011,3682772.4786
