initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
2.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_2.5MSUN_z0.0015,1934.0,2140.0
3.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0015,1776.0,1957.0
3.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0020,1821.0,2013.0
3.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0025,1845.0,2135.0
3.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0030,1874.0,2097.0
3.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0015,1752.0,1933.0
3.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0020,1800.0,1983.0
3.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0025,1834.0,1997.0
3.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0030,1843.0,1983.0
3.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0035,1881.0,2053.0
3.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0040,1909.0,2136.0
3.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0045,1926.0,2137.0
3.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0050,1945.0,2127.0
3.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0055,1958.0,1972.0
4.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0015,1716.0,1937.0
4.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0020,1773.0,1976.0
4.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0025,1811.0,1984.0
4.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0030,1841.0,1959.0
4.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0035,1860.0,2023.0
4.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0040,1885.0,2017.0
4.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0045,1892.0,2024.0
4.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0050,1904.0,2047.0
4.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0055,1925.0,2091.0
4.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0060,1940.0,2160.0
4.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0065,1957.0,2179.0
4.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0070,2002.0,2209.0
4.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0075,2032.0,2219.0
4.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0080,2067.0,2226.0
4.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0085,2100.0,2117.0
4.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0015,1705.0,1954.0
4.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0020,1757.0,1945.0
4.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0025,1785.0,1982.0
4.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0030,1813.0,1964.0
4.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0035,1837.0,1912.0
4.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0040,1866.0,1965.0
4.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0045,1872.0,2025.0
4.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0050,1886.0,2027.0
4.5,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0055,1895.0,2033.0
4.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0060,1901.0,2039.0
4.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0065,1921.0,2067.0
4.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0070,1949.0,2109.0
4.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0075,1989.0,2153.0
4.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0080,2021.0,2206.0
4.5,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0085,2041.0,2258.0
4.5,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0090,2081.0,2320.0
4.5,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0095,2120.0,2357.0
4.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0100,2060.0,2271.0
4.5,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0105,2076.0,2261.0
4.5,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0110,2087.0,2259.0
4.5,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0115,2109.0,2252.0
4.5,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0120,2125.0,2247.0
4.5,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0125,2121.0,2138.0
4.5,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0130,2150.0,2155.0
5.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0015,1701.0,1984.0
5.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0020,1736.0,1956.0
5.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0025,1772.0,1965.0
5.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0030,1797.0,1994.0
5.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0035,1825.0,1983.0
5.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0040,1844.0,1954.0
5.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0045,1863.0,1965.0
5.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0050,1870.0,2024.0
5.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0055,1877.0,2044.0
5.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0060,1877.0,2029.0
5.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0065,1901.0,2059.0
5.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0070,1920.0,2082.0
5.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0075,1951.0,2114.0
5.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0080,1969.0,2130.0
5.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0085,2004.0,2167.0
5.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0090,2032.0,2199.0
5.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0095,2064.0,2250.0
