initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0015,2.5,1,25037300.453307033,445788085.5839581,470825386.0372651,445788085.5839581,470825386.0372651,25037300.453307033,25037300.453307033,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_2.5MSUN_z0.0015
0.0015,3.0,2,18698860.967384696,282808452.7963194,301507313.7637041,282808452.7963194,301507313.7637041,18698860.967384696,18698860.967384696,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0015
0.002,3.0,2,19072763.860152006,290011145.05798143,309083908.91813344,290011145.05798143,309083908.91813344,19072763.860152006,19072763.860152006,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0020
0.0025,3.0,1,21534218.744298697,293928074.15986854,315462292.90416723,293928074.15986854,315462292.90416723,21534218.744298697,21534218.744298697,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0025
0.003,3.0,1,20971812.453488767,298682882.32677746,319654694.7802662,298682882.32677746,319654694.7802662,20971812.453488767,20971812.453488767,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.0MSUN_z0.0030
0.0015,3.5,2,12995338.393537134,195373338.22590956,208368676.6194467,195373338.22590956,208368676.6194467,12995338.393537134,12995338.393537134,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0015
0.002,3.5,2,9976232.256916583,203650671.3537016,213626903.61061817,203650671.3537016,213626903.61061817,9976232.256916583,9976232.256916583,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0020
0.0025,3.5,2,9701274.361651987,208396674.4421536,218097948.8038056,208396674.4421536,218097948.8038056,9701274.361651987,9701274.361651987,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0025
0.003,3.5,2,10578641.721972346,211477039.94503823,222055681.66701058,211477039.94503823,222055681.66701058,10578641.721972346,10578641.721972346,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0030
0.0035,3.5,2,11597469.840938628,214580126.2531496,226177596.09408823,214580126.2531496,226177596.09408823,11597469.840938628,11597469.840938628,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0035
0.004,3.5,1,13095567.941055447,216991131.36101133,230086699.30206677,216991131.36101133,230086699.30206677,13095567.941055447,13095567.941055447,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0040
0.0045,3.5,1,13360942.773414344,219283256.65187114,232644199.4252855,219283256.65187114,232644199.4252855,13360942.773414344,13360942.773414344,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0045
0.005,3.5,1,13286659.179295897,221713979.1857047,235000638.3650006,221713979.1857047,235000638.3650006,13286659.179295897,13286659.179295897,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0050
0.0055,3.5,1,1301463.900746584,224321965.81051907,225623429.71126565,224321965.81051907,225623429.71126565,1301463.900746584,1301463.900746584,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_3.5MSUN_z0.0055
0.0015,4.0,2,10338028.170870155,142534394.15385938,152872422.32472953,142534394.15385938,152872422.32472953,10338028.170870155,10338028.170870155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0015
0.002,4.0,2,7805030.476083696,148272165.38502884,156077195.86111253,148272165.38502884,156077195.86111253,7805030.476083696,7805030.476083696,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0020
0.0025,4.0,1,5482543.1024567485,152947809.22719774,158430352.32965448,152947809.22719774,158430352.32965448,5482543.1024567485,5482543.1024567485,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0025
0.003,4.0,1,4443259.781133324,156790662.48628247,161233922.2674158,156790662.48628247,161233922.2674158,4443259.781133324,4443259.781133324,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0030
0.0035,4.0,2,6097720.883301616,159038147.2912524,165135868.17455402,159038147.2912524,165135868.17455402,6097720.883301616,6097720.883301616,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0035
0.004,4.0,2,6719390.183478415,160893556.0559276,167612946.23940602,160893556.0559276,167612946.23940602,6719390.183478415,6719390.183478415,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0040
0.0045,4.0,2,7401216.571751982,162327727.905363,169728944.47711498,162327727.905363,169728944.47711498,7401216.571751982,7401216.571751982,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0045
0.005,4.0,2,8146047.580959171,163621315.32759243,171767362.9085516,163621315.32759243,171767362.9085516,8146047.580959171,8146047.580959171,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0050
0.0055,4.0,2,8764272.238798559,165121313.11078683,173885585.34958538,165121313.11078683,173885585.34958538,8764272.238798559,8764272.238798559,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0055
0.006,4.0,2,9483610.968285114,166490503.6891164,175974114.6574015,166490503.6891164,175974114.6574015,9483610.968285114,9483610.968285114,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0060
0.0065,4.0,1,10065174.72159934,167939289.46744138,178004464.18904072,167939289.46744138,178004464.18904072,10065174.72159934,10065174.72159934,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0065
0.007,4.0,1,10045870.332713187,169761617.4160302,179807487.74874339,169761617.4160302,179807487.74874339,10045870.332713187,10045870.332713187,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0070
0.0075,4.0,1,10297035.980023712,171273753.6113581,181570789.59138182,171273753.6113581,181570789.59138182,10297035.980023712,10297035.980023712,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0075
0.008,4.0,1,9722193.22593689,173118736.6257774,182840929.85171428,173118736.6257774,182840929.85171428,9722193.22593689,9722193.22593689,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0080
0.0085,4.0,1,1195562.7910498679,175034634.31311926,176230197.10416913,175034634.31311926,176230197.10416913,1195562.7910498679,1195562.7910498679,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.0MSUN_z0.0085
0.0015,4.5,2,8526501.592358857,108776219.53518526,117302721.12754412,108776219.53518526,117302721.12754412,8526501.592358857,8526501.592358857,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0015
0.002,4.5,2,6913780.286234319,112623121.72609867,119536902.01233299,112623121.72609867,119536902.01233299,6913780.286234319,6913780.286234319,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0020
0.0025,4.5,2,5350170.763850257,115948260.41547632,121298431.17932658,115948260.41547632,121298431.17932658,5350170.763850257,5350170.763850257,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0025
0.003,4.5,1,3682772.4786202908,119012151.74953984,122694924.22816013,119012151.74953984,122694924.22816013,3682772.4786202908,3682772.4786202908,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0030
0.0035,4.5,1,2329329.4729169607,122042989.81303455,124372319.28595151,122042989.81303455,124372319.28595151,2329329.4729169607,2329329.4729169607,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0035
0.004,4.5,1,2934486.0419574827,123835802.92223607,126770288.96419355,123835802.92223607,126770288.96419355,2934486.0419574827,2934486.0419574827,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0040
0.0045,4.5,2,4257419.522221819,124768895.56753756,129026315.08975938,124768895.56753756,129026315.08975938,4257419.522221819,4257419.522221819,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_4.5MSUN_z0.0045
