initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
2.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_2.5MSUN_z0.0015,1832.0,2077.0
3.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0015,1800.0,1938.0
3.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0020,1854.0,2062.0
3.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0025,1891.0,2102.0
3.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0015,1795.0,1965.0
3.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0020,1829.0,1973.0
3.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0025,1867.0,1988.0
3.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0030,1881.0,2026.0
3.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0035,1926.0,2111.0
3.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0040,1951.0,2126.0
3.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0045,1972.0,2095.0
4.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0015,1766.0,1950.0
4.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0020,1815.0,1961.0
4.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0025,1839.0,1967.0
4.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0030,1868.0,2016.0
