initial_Z,initial_mass,run_dir_path,blue_loop_crossing_count,blue_loop_duration_yr,max_log_L,max_log_Teff,max_log_R,first_model_number,last_model_number,first_age_yr,last_age_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration
0.0015,2.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_2.5MSUN_z0.0015,1,22028116.67919725,2.5275254377928436,3.77559112999937,1.2654712657700387,1832,2077,448770271.73011684,479794282.90268946,457185891.21921766,479214007.8984149,457185891.21921766,479214007.8984149,22028116.67919725,22028116.67919725
0.0015,3.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0015,2,13827486.682416916,2.828448338238671,3.8624285272511427,1.4398255313334085,1800,1938,295180172.7737092,308966445.5367521,295180172.7737092,309007659.4561261,295180172.7737092,309007659.4561261,13827486.682416916,13827486.682416916
0.002,3.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0020,2,15028546.461705208,2.7781176987785634,3.8243001151058795,1.4109848936911105,1854,2062,302046419.7009734,316994437.7841678,302046419.7009734,317074966.1626786,302046419.7009734,317074966.1626786,15028546.461705208,15028546.461705208
0.0025,3.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0025,1,15957833.546474159,2.7366630976250548,3.787475946983792,1.3878129865500433,1891,2102,307313136.4457313,323111249.2897659,307313136.4457313,323270969.99220544,307313136.4457313,323270969.99220544,15957833.546474159,15957833.546474159
0.0015,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0015,2,7370767.458822191,3.0605169350795594,3.8234744021874696,1.580946813273667,1795,1965,207161008.440699,214503042.18466365,207161008.440699,214531775.8995212,207161008.440699,214531775.8995212,7370767.458822191,7370767.458822191
0.002,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0020,2,7131842.396749437,3.0288290164660476,3.831130872341682,1.5589032057647192,1829,1973,213062844.93807495,220182711.70431975,213062844.93807495,220194687.33482438,213062844.93807495,220194687.33482438,7131842.396749437,7131842.396749437
0.0025,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0025,2,7767160.8021630645,2.997766229480578,3.8503045450076425,1.543504184345941,1867,1988,216687996.61459807,224423800.16590878,216687996.61459807,224455157.41676113,216687996.61459807,224455157.41676113,7767160.8021630645,7767160.8021630645
0.003,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0030,2,8522759.628551692,2.96521481421331,3.8352518031901743,1.5236482881982985,1881,2026,220123411.764598,228610673.30666146,220123411.764598,228646171.3931497,220123411.764598,228646171.3931497,8522759.628551692,8522759.628551692
0.0035,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0035,1,9360836.764116138,2.930299596461283,3.8115393858384454,1.504248945635554,1926,2111,223446907.57926378,232720597.32828707,223446907.57926378,232807744.3433799,223446907.57926378,232807744.3433799,9360836.764116138,9360836.764116138
0.004,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0040,1,9638376.80390498,2.8932625466116515,3.7832885745654807,1.4853023874956663,1951,2126,226970616.8090791,236533374.18994087,226970616.8090791,236608993.6129841,226970616.8090791,236608993.6129841,9638376.80390498,9638376.80390498
0.0045,3.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0045,1,8485584.53786856,2.864221411126454,3.7623071574104805,1.46750179042009,1972,2095,230083177.35768974,238459717.69156387,230083177.35768974,238568761.8955583,230083177.35768974,238568761.8955583,8485584.53786856,8485584.53786856
0.0015,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0015,2,5916375.552682817,3.262163957172204,3.8422977556409217,1.703853808692329,1766,1950,151975652.08416998,157884559.90151557,151975652.08416998,157892027.6368528,151975652.08416998,157892027.6368528,5916375.552682817,5916375.552682817
0.002,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0020,1,3917349.866090387,3.2159881063399562,3.7855219486715543,1.6783033604996316,1815,1961,156968990.98905963,160862766.52759114,156968990.98905963,160886340.85515,156968990.98905963,160886340.85515,3917349.866090387,3917349.866090387
0.0025,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0025,1,3724501.320954293,3.191749432955411,3.78050898728975,1.6666592332238173,1839,1967,160375962.4137498,164048883.51117963,160375962.4137498,164100463.7347041,160375962.4137498,164100463.7347041,3724501.320954293,3724501.320954293
0.003,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0030,2,4741001.768417329,3.1827532189802192,3.8242003852026314,1.64888831524671,1868,2016,162794546.27676508,167515261.1221281,162794546.27676508,167535548.0451824,162794546.27676508,167535548.0451824,4741001.768417329,4741001.768417329
0.0035,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0035,2,5278230.354279369,3.157960429978958,3.848683391231832,1.637205117165734,1883,2009,164989867.78325263,170236351.82960516,164989867.78325263,170268098.137532,164989867.78325263,170268098.137532,5278230.354279369,5278230.354279369
0.004,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0040,2,5890163.296829879,3.1276286220895875,3.8455107602692453,1.6188390003698534,1925,2048,167150246.49111632,173013211.56370285,167150246.49111632,173040409.7879462,167150246.49111632,173040409.7879462,5890163.296829879,5890163.296829879
0.0045,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0045,2,6208594.340678155,3.107470933914132,3.833475879393331,1.6081999174468802,1939,2069,169042012.939785,175222604.6698951,169042012.939785,175250607.28046316,169042012.939785,175250607.28046316,6208594.340678155,6208594.340678155
0.005,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0050,2,6711690.985611886,3.0864474797674903,3.8213756019362224,1.5993494030496227,1956,2122,170707518.87938225,177383185.53624192,170707518.87938225,177419209.86499414,170707518.87938225,177419209.86499414,6711690.985611886,6711690.985611886
0.0055,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0055,1,6969300.4801154435,3.0650672292880765,3.8063853904198313,1.5861765634880218,1967,2152,172577968.60987574,179474876.55236787,172577968.60987574,179547269.08999118,172577968.60987574,179547269.08999118,6969300.4801154435,6969300.4801154435
0.006,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0060,1,7094574.1357212365,3.04252888477835,3.790991053743519,1.5751650028516617,1986,2156,174422609.0569431,181479269.56427228,174422609.0569431,181517183.19266433,174422609.0569431,181517183.19266433,7094574.1357212365,7094574.1357212365
0.0065,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0065,1,6882791.8597711325,3.019338383854073,3.7749635171846605,1.5621348772985373,2002,2151,176402784.23658982,183244287.94708237,176402784.23658982,183285576.09636095,176402784.23658982,183285576.09636095,6882791.8597711325,6882791.8597711325
0.007,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0070,1,6289046.319425464,2.993936219982438,3.7586766811831005,1.5471305107216502,2043,2149,178418509.73741275,184637991.2690228,178418509.73741275,184707556.0568382,178418509.73741275,184707556.0568382,6289046.319425464,6289046.319425464
0.0075,4.0,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0075,1,533104.160584718,2.931355630083417,3.7416654522308885,1.508905438537856,2068,2074,180811618.83945292,181290911.56184375,180811618.83945292,181344723.00003764,180811618.83945292,181344723.00003764,533104.160584718,533104.160584718
0.0015,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0015,2,5241211.556502059,3.4376867073724013,3.876557485029697,1.8088617365971404,1756,1939,116228560.37459962,121466280.46618618,116228560.37459962,121469771.93110168,116228560.37459962,121469771.93110168,5241211.556502059,5241211.556502059
0.002,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0020,2,3731300.1175434887,3.394957501344897,3.808804940865561,1.7895757214049786,1801,1999,119811273.15113804,123523115.29027395,119811273.15113804,123542573.26868153,119811273.15113804,123542573.26868153,3731300.1175434887,3731300.1175434887
0.0025,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0025,1,2629098.585861966,3.363703868952444,3.769815945323273,1.770356572233009,1825,1942,122666009.55288249,125276220.65055853,122666009.55288249,125295108.13874446,122666009.55288249,125295108.13874446,2629098.585861966,2629098.585861966
0.003,4.5,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.5MSUN_z0.0030,1,2859926.7567876875,3.344534862871952,3.7808840011387814,1.755045844857049,1847,1971,124714035.8587349,127531576.82720836,124714035.8587349,127573962.6155226,124714035.8587349,127573962.6155226,2859926.7567876875,2859926.7567876875
