initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
3.0,0.0015,314057365.0135329,321992104.06898874,7934739.0555,314057365.0135329,321992104.06898874,7934739.0555
3.0,0.002,321693547.3872811,329956932.48085994,8263385.0936,321693547.3872811,329956932.48085994,8263385.0936
3.0,0.0025,328881095.0577273,334546982.8456948,5665887.788,328881095.0577273,334546982.8456948,5665887.788
3.5,0.0015,220759612.64266947,224286624.91047704,3527012.2678,220759612.64266947,224286624.91047704,3527012.2678
3.5,0.002,226166958.0235339,230451227.2470488,4284269.2235,226166958.0235339,230451227.2470488,4284269.2235
3.5,0.0025,230302118.4879113,234726916.0430023,4424797.5551,230302118.4879113,234726916.0430023,4424797.5551
3.5,0.003,234416848.49323583,239003331.24499583,4586482.7518,234416848.49323583,239003331.24499583,4586482.7518
3.5,0.0035,238407531.10595977,242760823.1505016,4353292.0445,238407531.10595977,242760823.1505016,4353292.0445
3.5,0.004,243151115.61991084,243985239.0718387,834123.4519,243151115.61991084,243985239.0718387,834123.4519
4.0,0.0015,162334132.33507508,165037389.66080165,2703257.3257,162334132.33507508,165037389.66080165,2703257.3257
4.0,0.002,166799428.85172376,168509591.87473726,1710163.023,166799428.85172376,168509591.87473726,1710163.023
4.0,0.0025,169596380.7787581,172068868.5719604,2472487.7932,169596380.7787581,172068868.5719604,2472487.7932
4.0,0.003,172200555.58838022,175377011.08938628,3176455.501,172200555.58838022,175377011.08938628,3176455.501
4.0,0.0035,174922037.81313902,178212272.39059284,3290234.5775,174922037.81313902,178212272.39059284,3290234.5775
4.0,0.004,177730316.6157221,181098509.3168891,3368192.7012,177730316.6157221,181098509.3168891,3368192.7012
4.0,0.0045,179775872.208603,183229129.88160783,3453257.673,179775872.208603,183229129.88160783,3453257.673
4.0,0.005,182011582.1208473,185239630.72126308,3228048.6004,182011582.1208473,185239630.72126308,3228048.6004
4.0,0.0055,184233687.7415656,186935548.2260495,2701860.4845,184233687.7415656,186935548.2260495,2701860.4845
4.0,0.006,186618506.31420705,187763175.71472165,1144669.4005,186618506.31420705,187763175.71472165,1144669.4005
4.5,0.0015,124470652.81057854,127078976.74980624,2608323.9392,124470652.81057854,127078976.74980624,2608323.9392
4.5,0.002,127830656.0397456,129169962.17843331,1339306.1387,127830656.0397456,129169962.17843331,1339306.1387
4.5,0.0025,130081747.29189771,131400740.611232,1318993.3193,130081747.29189771,131400740.611232,1318993.3193
4.5,0.003,131973891.33009867,133788742.74949388,1814851.4194,131973891.33009867,133788742.74949388,1814851.4194
4.5,0.0035,133780599.24828029,136180121.59449792,2399522.3462,133780599.24828029,136180121.59449792,2399522.3462
4.5,0.004,135563564.4157384,138173887.95335335,2610323.5376,135563564.4157384,138173887.95335335,2610323.5376
4.5,0.0045,136987702.64424145,139741747.7416516,2754045.0974,136987702.64424145,139741747.7416516,2754045.0974
4.5,0.005,138450180.9029496,141286967.5908577,2836786.6879,138450180.9029496,141286967.5908577,2836786.6879
4.5,0.006,141368389.00071704,144354283.82774007,2985894.827,141368389.00071704,144354283.82774007,2985894.827
4.5,0.0065,142865147.09992638,145795487.40790915,2930340.308,142865147.09992638,145795487.40790915,2930340.308
4.5,0.007,144449783.363394,147130935.6202881,2681152.2569,144449783.363394,147130935.6202881,2681152.2569
4.5,0.0075,146051253.81883544,148345543.96465817,2294290.1458,146051253.81883544,148345543.96465817,2294290.1458
4.5,0.008,147698010.5689662,148954424.75675482,1256414.1878,147698010.5689662,148954424.75675482,1256414.1878
5.0,0.0015,98725606.6618684,101329812.07025488,2604205.4084,98725606.6618684,101329812.07025488,2604205.4084
5.0,0.002,101158639.29584403,102647545.76386848,1488906.468,101158639.29584403,102647545.76386848,1488906.468
5.0,0.0025,103002642.5653669,104038102.37913886,1035459.8138,103002642.5653669,104038102.37913886,1035459.8138
5.0,0.003,104581935.5508464,105705698.7870758,1123763.2362,104581935.5508464,105705698.7870758,1123763.2362
5.0,0.0035,105840480.06916893,107427627.20098302,1587147.1318,105840480.06916893,107427627.20098302,1587147.1318
5.0,0.004,107074112.4978475,109141613.36986756,2067500.872,107074112.4978475,109141613.36986756,2067500.872
5.0,0.0045,108039836.0799258,110286607.73879404,2246771.6589,108039836.0799258,110286607.73879404,2246771.6589
5.0,0.005,109072467.80770658,111374398.41908428,2301930.6114,109072467.80770658,111374398.41908428,2301930.6114
5.0,0.0055,110042721.18486546,112438064.34348547,2395343.1586,110042721.18486546,112438064.34348547,2395343.1586
5.0,0.006,111094873.72068349,113549523.76837143,2454650.0477,111094873.72068349,113549523.76837143,2454650.0477
5.0,0.0065,112127964.53655288,114663548.7082344,2535584.1717,112127964.53655288,114663548.7082344,2535584.1717
5.0,0.007,113179377.30071816,115769184.3146378,2589807.0139,113179377.30071816,115769184.3146378,2589807.0139
5.0,0.0075,114302205.17643896,116858597.69997172,2556392.5235,114302205.17643896,116858597.69997172,2556392.5235
5.0,0.008,115397142.5566066,117854904.6013232,2457762.0447,115397142.5566066,117854904.6013232,2457762.0447
5.0,0.0085,116531480.08372784,118885956.1227036,2354476.039,116531480.08372784,118885956.1227036,2354476.039
5.0,0.009,117666722.39441602,119813703.37587664,2146980.9815,117666722.39441602,119813703.37587664,2146980.9815
5.0,0.0095,118866231.0712571,120612591.8009456,1746360.7297,118866231.0712571,120612591.8009456,1746360.7297
5.0,0.01,120036197.85950576,121114626.8289924,1078428.9695,120036197.85950576,121114626.8289924,1078428.9695
5.0,0.0105,120965770.2569517,121627748.5609015,661978.3039,120965770.2569517,121627748.5609015,661978.3039
5.5,0.0015,80550131.40822789,82883312.09791607,2333180.6897,80550131.40822789,82883312.09791607,2333180.6897
5.5,0.002,82349192.93368417,83782727.69599992,1433534.7623,82349192.93368417,83782727.69599992,1433534.7623
5.5,0.0025,83855716.60116252,84742378.9188866,886662.3177,83855716.60116252,84742378.9188866,886662.3177
5.5,0.003,85020918.84624672,85834644.32949618,813725.4832,85020918.84624672,85834644.32949618,813725.4832
5.5,0.0035,86039176.06101424,87023844.9162102,984668.8552,86039176.06101424,87023844.9162102,984668.8552
5.5,0.004,86982199.69225022,88495399.55723543,1513199.865,86982199.69225022,88495399.55723543,1513199.865
5.5,0.0045,87663446.61728275,89483153.77685718,1819707.1596,87663446.61728275,89483153.77685718,1819707.1596
5.5,0.005,88391760.86634675,90289752.81620276,1897991.9499,88391760.86634675,90289752.81620276,1897991.9499
5.5,0.0055,89093741.08578439,91031991.60872556,1938250.5229,89093741.08578439,91031991.60872556,1938250.5229
5.5,0.006,89842739.12815261,91850646.22882436,2007907.1007,89842739.12815261,91850646.22882436,2007907.1007
