initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
3.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.0MSUN_z0.0015,1842,1967
3.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.0MSUN_z0.0020,1902,2036
3.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.0MSUN_z0.0025,1935,2006
3.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0015,1828,1925
3.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0020,1869,1993
3.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0025,1906,2028
3.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0030,1922,2027
3.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0035,1968,2045
3.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0040,1993,2005
4.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0015,1800,1912
4.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0020,1845,1891
4.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0025,1873,1956
4.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0030,1904,2030
4.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0035,1933,2051
4.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0040,1966,2079
4.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0045,1985,2081
4.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0050,1992,2082
4.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0055,2003,2059
4.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0060,2023,2044
4.5,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0015,1797,1971
4.5,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0020,1833,1884
4.5,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0025,1854,1898
4.5,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0030,1874,1956
4.5,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0035,1893,2023
4.5,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0040,1935,2047
4.5,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0045,1950,2066
4.5,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0050,1958,2067
4.5,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0060,1986,2102
4.5,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0065,1999,2109
4.5,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0070,2034,2120
4.5,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0075,2061,2128
4.5,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.5MSUN_z0.0080,2089,2123
5.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0015,1784,1953
5.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.0MSUN_z0.0020,1816,1902
