initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0015,3.0,2,7934739.0554558635,314057365.0135329,321992104.06898874,314057365.0135329,321992104.06898874,7934739.0554558635,7934739.0554558635,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.0MSUN_z0.0015
0.002,3.0,1,8263385.093578815,321693547.3872811,329956932.48085994,321693547.3872811,329956932.48085994,8263385.093578815,8263385.093578815,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.0MSUN_z0.0020
0.0025,3.0,1,5665887.787967503,328881095.0577273,334546982.8456948,328881095.0577273,334546982.8456948,5665887.787967503,5665887.787967503,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.0MSUN_z0.0025
0.0015,3.5,1,3527012.267807573,220759612.64266947,224286624.91047704,220759612.64266947,224286624.91047704,3527012.267807573,3527012.267807573,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0015
0.002,3.5,1,4284269.223514855,226166958.0235339,230451227.24704877,226166958.0235339,230451227.24704877,4284269.223514855,4284269.223514855,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0020
0.0025,3.5,2,4424797.555090994,230302118.4879113,234726916.0430023,230302118.4879113,234726916.0430023,4424797.555090994,4424797.555090994,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0025
0.003,3.5,1,4586482.751760036,234416848.49323583,239003331.24499586,234416848.49323583,239003331.24499586,4586482.751760036,4586482.751760036,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0030
0.0035,3.5,1,4353292.044541836,238407531.10595977,242760823.1505016,238407531.10595977,242760823.1505016,4353292.044541836,4353292.044541836,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0035
0.004,3.5,1,834123.4519278705,243151115.61991084,243985239.0718387,243151115.61991084,243985239.0718387,834123.4519278705,834123.4519278705,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_3.5MSUN_z0.0040
0.0015,4.0,1,2703257.3257265687,162334132.33507508,165037389.66080165,162334132.33507508,165037389.66080165,2703257.3257265687,2703257.3257265687,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_4.0MSUN_z0.0015
