initial_mass,initial_Z,blue_loop_start_age,blue_loop_end_age,calculated_blue_loop_duration,instability_start_age,instability_end_age,calculated_instability_duration
2.5,0.0015,457185891.21921766,479214007.8984149,22028116.6792,457185891.21921766,479214007.8984149,22028116.6792
3.0,0.0015,295180172.7737092,309007659.4561261,13827486.6824,295180172.7737092,309007659.4561261,13827486.6824
3.0,0.002,302046419.7009734,317074966.1626786,15028546.4617,302046419.7009734,317074966.1626786,15028546.4617
3.0,0.0025,307313136.4457313,323270969.99220544,15957833.5465,307313136.4457313,323270969.99220544,15957833.5465
3.5,0.0015,207161008.440699,214531775.8995212,7370767.4588,207161008.440699,214531775.8995212,7370767.4588
3.5,0.002,213062844.93807492,220194687.3348244,7131842.3967,213062844.93807492,220194687.3348244,7131842.3967
3.5,0.0025,216687996.61459807,224455157.41676116,7767160.8022,216687996.61459807,224455157.41676116,7767160.8022
3.5,0.003,220123411.764598,228646171.3931497,8522759.6286,220123411.764598,228646171.3931497,8522759.6286
3.5,0.0035,223446907.57926375,232807744.3433799,9360836.7641,223446907.57926375,232807744.3433799,9360836.7641
3.5,0.004,226970616.8090791,236608993.6129841,9638376.8039,226970616.8090791,236608993.6129841,9638376.8039
3.5,0.0045,230083177.3576897,238568761.8955583,8485584.5379,230083177.3576897,238568761.8955583,8485584.5379
4.0,0.0015,151975652.08416998,157892027.6368528,5916375.5527,151975652.08416998,157892027.6368528,5916375.5527
4.0,0.002,156968990.98905963,160886340.85515,3917349.8661,156968990.98905963,160886340.85515,3917349.8661
4.0,0.0025,160375962.4137498,164100463.7347041,3724501.321,160375962.4137498,164100463.7347041,3724501.321
4.0,0.003,162794546.27676508,167535548.0451824,4741001.7684,162794546.27676508,167535548.0451824,4741001.7684
4.0,0.0035,164989867.78325263,170268098.137532,5278230.3543,164989867.78325263,170268098.137532,5278230.3543
4.0,0.004,167150246.49111632,173040409.7879462,5890163.2968,167150246.49111632,173040409.7879462,5890163.2968
4.0,0.0045,169042012.939785,175250607.28046316,6208594.3407,169042012.939785,175250607.28046316,6208594.3407
4.0,0.005,170707518.87938225,177419209.86499414,6711690.9856,170707518.87938225,177419209.86499414,6711690.9856
4.0,0.0055,172577968.60987574,179547269.08999118,6969300.4801,172577968.60987574,179547269.08999118,6969300.4801
4.0,0.006,174422609.0569431,181517183.19266436,7094574.1357,174422609.0569431,181517183.19266436,7094574.1357
4.0,0.0065,176402784.23658982,183285576.09636092,6882791.8598,176402784.23658982,183285576.09636092,6882791.8598
4.0,0.007,178418509.73741275,184707556.0568382,6289046.3194,178418509.73741275,184707556.0568382,6289046.3194
4.0,0.0075,180811618.8394529,181344723.00003764,533104.1606,180811618.8394529,181344723.00003764,533104.1606
4.5,0.0015,116228560.37459962,121469771.93110168,5241211.5565,116228560.37459962,121469771.93110168,5241211.5565
4.5,0.002,119811273.15113804,123542573.26868153,3731300.1175,119811273.15113804,123542573.26868153,3731300.1175
4.5,0.0025,122666009.55288248,125295108.13874446,2629098.5859,122666009.55288248,125295108.13874446,2629098.5859
4.5,0.003,124714035.8587349,127573962.6155226,2859926.7568,124714035.8587349,127573962.6155226,2859926.7568
4.5,0.0035,126566722.19161987,129874499.12014364,3307776.9285,126566722.19161987,129874499.12014364,3307776.9285
4.5,0.004,128067699.0553127,131977938.00344113,3910238.9481,128067699.0553127,131977938.00344113,3910238.9481
4.5,0.0045,129242860.03397968,133424713.89444432,4181853.8605,129242860.03397968,133424713.89444432,4181853.8605
4.5,0.005,130482267.7610826,134974220.94658905,4491953.1855,130482267.7610826,134974220.94658905,4491953.1855
4.5,0.0055,131689539.0383179,136420824.43204078,4731285.3937,131689539.0383179,136420824.43204078,4731285.3937
4.5,0.006,132898643.56678076,137964789.6030767,5066146.0363,132898643.56678076,137964789.6030767,5066146.0363
4.5,0.0065,134184275.1590593,139537637.54794016,5353362.3889,134184275.1590593,139537637.54794016,5353362.3889
4.5,0.007,135535587.16173428,140981890.78315672,5446303.6214,135535587.16173428,140981890.78315672,5446303.6214
4.5,0.0075,136884106.99599105,142504176.6174152,5620069.6214,136884106.99599105,142504176.6174152,5620069.6214
4.5,0.008,138204606.70833978,144006888.19757608,5802281.4892,138204606.70833978,144006888.19757608,5802281.4892
4.5,0.0085,139641873.49319184,145332630.62274262,5690757.1296,139641873.49319184,145332630.62274262,5690757.1296
4.5,0.009,141138104.51316154,146587156.35355356,5449051.8404,141138104.51316154,146587156.35355356,5449051.8404
4.5,0.0095,142657044.53362077,147538353.63290447,4881309.0993,142657044.53362077,147538353.63290447,4881309.0993
4.5,0.01,144200960.51718473,145174633.6442056,973673.127,144200960.51718473,145174633.6442056,973673.127
5.0,0.0015,92117770.3340521,96697542.09418948,4579771.7601,92117770.3340521,96697542.09418948,4579771.7601
5.0,0.002,94681414.04286548,98184867.5602942,3503453.5174,94681414.04286548,98184867.5602942,3503453.5174
5.0,0.0025,96758337.54715036,99401675.40694992,2643337.8598,96758337.54715036,99401675.40694992,2643337.8598
5.0,0.003,98568229.8655198,100712243.28952214,2144013.424,98568229.8655198,100712243.28952214,2144013.424
5.0,0.0035,99992716.30960572,102402132.33628336,2409416.0267,99992716.30960572,102402132.33628336,2409416.0267
5.0,0.004,101212158.84434935,104037464.7867453,2825305.9424,101212158.84434935,104037464.7867453,2825305.9424
5.0,0.0045,101996749.17738964,105197911.99482805,3201162.8174,101996749.17738964,105197911.99482805,3201162.8174
5.0,0.005,102838474.39350908,106218875.21601242,3380400.8225,102838474.39350908,106218875.21601242,3380400.8225
5.0,0.0055,103679177.95111172,107375798.48913634,3696620.538,103679177.95111172,107375798.48913634,3696620.538
5.0,0.006,104564129.53499947,108423153.95462231,3859024.4196,104564129.53499947,108423153.95462231,3859024.4196
5.0,0.0065,105429242.42156556,109518599.44453348,4089357.023,105429242.42156556,109518599.44453348,4089357.023
5.0,0.007,106385210.6763596,110594473.87735848,4209263.201,106385210.6763596,110594473.87735848,4209263.201
5.0,0.0075,107303097.78632094,111669495.76396076,4366397.9776,107303097.78632094,111669495.76396076,4366397.9776
5.0,0.008,108284381.34639464,112792955.30004662,4508573.9537,108284381.34639464,112792955.30004662,4508573.9537
5.0,0.0085,109236234.16061027,113918692.10837749,4682457.9478,109236234.16061027,113918692.10837749,4682457.9478
5.0,0.009,110254506.3940746,115003484.37681714,4748977.9827,110254506.3940746,115003484.37681714,4748977.9827
5.0,0.0095,111266734.79048903,116128094.2427218,4861359.4522,111266734.79048903,116128094.2427218,4861359.4522
5.0,0.01,112315314.43879417,117110662.71758218,4795348.2788,112315314.43879417,117110662.71758218,4795348.2788
5.0,0.0105,113133619.62764692,117940541.57128522,4806921.9436,113133619.62764692,117940541.57128522,4806921.9436
5.0,0.011,113852095.94572358,118618190.685235,4766094.7395,113852095.94572358,118618190.685235,4766094.7395
5.0,0.0115,114607981.00483292,119270980.90666552,4662999.9018,114607981.00483292,119270980.90666552,4662999.9018
5.0,0.012,115383689.39899094,119935470.0291452,4551780.6302,115383689.39899094,119935470.0291452,4551780.6302
5.0,0.0125,116175742.21446604,120506028.59349789,4330286.379,116175742.21446604,120506028.59349789,4330286.379
5.0,0.013,116936156.8723332,121044975.76493506,4108818.8926,116936156.8723332,121044975.76493506,4108818.8926
5.0,0.0135,117749175.6896562,121357455.13719656,3608279.4475,117749175.6896562,121357455.13719656,3608279.4475
5.0,0.014,118568224.67350942,119354201.89189862,785977.2184,118568224.67350942,119354201.89189862,785977.2184
5.0,0.0145,119469844.00513723,119861244.60490485,391400.5998,119469844.00513723,119861244.60490485,391400.5998
5.5,0.0015,75127324.62667117,79167861.38057968,4040536.7539,75127324.62667117,79167861.38057968,4040536.7539
5.5,0.002,76998200.43887067,80254733.23647927,3256532.7976,76998200.43887067,80254733.23647927,3256532.7976
5.5,0.0025,78538566.3154272,81144091.84230931,2605525.5269,78538566.3154272,81144091.84230931,2605525.5269
5.5,0.003,79885207.6979673,82063981.3454291,2178773.6475,79885207.6979673,82063981.3454291,2178773.6475
5.5,0.0035,81107820.99514921,83126541.95176679,2018720.9566,81107820.99514921,83126541.95176679,2018720.9566
5.5,0.004,82131425.59267251,84274884.38755918,2143458.7949,82131425.59267251,84274884.38755918,2143458.7949
5.5,0.0045,82746701.86146332,85261960.49206342,2515258.6306,82746701.86146332,85261960.49206342,2515258.6306
5.5,0.005,83387792.90987922,86116376.63402204,2728583.7241,83387792.90987922,86116376.63402204,2728583.7241
5.5,0.0055,83963895.28913057,86845016.02142128,2881120.7323,83963895.28913057,86845016.02142128,2881120.7323
5.5,0.006,84618316.05551143,87641985.25504544,3023669.1995,84618316.05551143,87641985.25504544,3023669.1995
5.5,0.0065,85273544.48605949,88431676.41474403,3158131.9287,85273544.48605949,88431676.41474403,3158131.9287
5.5,0.007,85960009.50685635,89243518.73640625,3283509.2295,85960009.50685635,89243518.73640625,3283509.2295
5.5,0.0075,86615460.189009,90061835.24567062,3446375.0567,86615460.189009,90061835.24567062,3446375.0567
5.5,0.008,87260917.9004021,90878471.50058132,3617553.6002,87260917.9004021,90878471.50058132,3617553.6002
5.5,0.0085,87971206.64561963,91653888.2377523,3682681.5921,87971206.64561963,91653888.2377523,3682681.5921
5.5,0.009,88699065.16603868,92457013.42108668,3757948.255,88699065.16603868,92457013.42108668,3757948.255
5.5,0.0095,89423130.36209354,93290114.5304424,3866984.1683,89423130.36209354,93290114.5304424,3866984.1683
5.5,0.01,90149049.05310354,94108006.7266171,3958957.6735,90149049.05310354,94108006.7266171,3958957.6735
5.5,0.0105,90692128.30143496,94706780.875872,4014652.5744,90692128.30143496,94706780.875872,4014652.5744
5.5,0.011,91278090.37987904,95275766.40728945,3997676.0274,91278090.37987904,95275766.40728945,3997676.0274
5.5,0.0115,91782724.77529556,95856451.32588996,4073726.5506,91782724.77529556,95856451.32588996,4073726.5506
5.5,0.012,92312397.21291272,96392832.41996694,4080435.2071,92312397.21291272,96392832.41996694,4080435.2071
5.5,0.0125,92874836.68211116,96955258.74062134,4080422.0585,92874836.68211116,96955258.74062134,4080422.0585
5.5,0.013,93412743.96967876,97503578.66649333,4090834.6968,93412743.96967876,97503578.66649333,4090834.6968
5.5,0.0135,93985015.47767958,98056856.906738,4071841.4291,93985015.47767958,98056856.906738,4071841.4291
5.5,0.014,94515745.1561218,98611010.13863347,4095264.9825,94515745.1561218,98611010.13863347,4095264.9825
5.5,0.0145,95119038.47263892,99039649.28099298,3920610.8084,95119038.47263892,99039649.28099298,3920610.8084
5.5,0.015,95684070.95020588,99496808.7184645,3812737.7683,95684070.95020588,99496808.7184645,3812737.7683
5.5,0.0155,96266019.6921076,100006174.05532975,3740154.3632,96266019.6921076,100006174.05532975,3740154.3632
5.5,0.016,96849947.679479,100473891.252764,3623943.5733,96849947.679479,100473891.252764,3623943.5733
5.5,0.0165,97471248.33354628,100868500.56240524,3397252.2289,97471248.33354628,100868500.56240524,3397252.2289
5.5,0.017,98088620.30286542,101149429.1167824,3060808.8139,98088620.30286542,101149429.1167824,3060808.8139
5.5,0.0175,98706290.97109608,101156821.24475268,2450530.2737,98706290.97109608,101156821.24475268,2450530.2737
5.5,0.018,99351433.24922808,99966975.92724892,615542.678,99351433.24922808,99966975.92724892,615542.678
5.5,0.0185,100020746.91943865,100359933.070048,339186.1506,100020746.91943865,100359933.070048,339186.1506
6.0,0.0015,62769822.099561006,66191251.26239552,3421429.1628,62769822.099561006,66191251.26239552,3421429.1628
6.0,0.002,64183206.84872654,66989367.171433896,2806160.3227,64183206.84872654,66989367.171433896,2806160.3227
6.0,0.0025,65332923.75437986,67638598.68163876,2305674.9273,65332923.75437986,67638598.68163876,2305674.9273
6.0,0.003,66394363.10224131,68329865.63323887,1935502.531,66394363.10224131,68329865.63323887,1935502.531
6.0,0.0035,67338887.1332755,69127465.62770633,1788578.4944,67338887.1332755,69127465.62770633,1788578.4944
6.0,0.004,68098773.82791862,70018748.25925478,1919974.4313,68098773.82791862,70018748.25925478,1919974.4313
6.0,0.0045,68691913.57006367,70632588.82753442,1940675.2575,68691913.57006367,70632588.82753442,1940675.2575
6.0,0.005,69127268.11532582,71375022.78773287,2247754.6724,69127268.11532582,71375022.78773287,2247754.6724
6.0,0.0055,69614087.31143554,72013690.43922496,2399603.1278,69614087.31143554,72013690.43922496,2399603.1278
6.0,0.006,70069898.71754004,72568666.02917005,2498767.3116,70069898.71754004,72568666.02917005,2498767.3116
6.0,0.0065,70560235.63994026,73156602.34655337,2596366.7066,70560235.63994026,73156602.34655337,2596366.7066
6.0,0.007,71042419.42801256,73774185.09624098,2731765.6682,71042419.42801256,73774185.09624098,2731765.6682
6.0,0.0075,71544955.87938967,74430161.08386493,2885205.2045,71544955.87938967,74430161.08386493,2885205.2045
6.0,0.008,72055416.60960704,74958144.5398624,2902727.9303,72055416.60960704,74958144.5398624,2902727.9303
6.0,0.0085,72575070.91392039,75606088.9514346,3031018.0375,72575070.91392039,75606088.9514346,3031018.0375
6.0,0.009,73091843.53574644,76132759.59090105,3040916.0552,73091843.53574644,76132759.59090105,3040916.0552
6.0,0.0095,73641764.53214337,76722978.10387588,3081213.5717,73641764.53214337,76722978.10387588,3081213.5717
6.0,0.01,74153323.39820102,77304303.93762441,3150980.5394,74153323.39820102,77304303.93762441,3150980.5394
6.0,0.0105,74581274.62304185,77761273.64191414,3179999.0189,74581274.62304185,77761273.64191414,3179999.0189
6.0,0.011,74967914.66799578,78201738.12797572,3233823.46,74967914.66799578,78201738.12797572,3233823.46
6.0,0.0115,75334634.90222426,78646372.41338554,3311737.5112,75334634.90222426,78646372.41338554,3311737.5112
6.0,0.012,75761028.06119202,79087116.39103565,3326088.3298,75761028.06119202,79087116.39103565,3326088.3298
