initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0015,2.5,1,22028116.67919725,457185891.21921766,479214007.8984149,457185891.21921766,479214007.8984149,22028116.67919725,22028116.67919725,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_2.5MSUN_z0.0015
0.0015,3.0,2,13827486.682416916,295180172.7737092,309007659.4561261,295180172.7737092,309007659.4561261,13827486.682416916,13827486.682416916,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0015
0.002,3.0,2,15028546.461705208,302046419.7009734,317074966.1626786,302046419.7009734,317074966.1626786,15028546.461705208,15028546.461705208,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0020
0.0025,3.0,1,15957833.546474159,307313136.4457313,323270969.99220544,307313136.4457313,323270969.99220544,15957833.546474159,15957833.546474159,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.0MSUN_z0.0025
0.0015,3.5,2,7370767.458822191,207161008.440699,214531775.8995212,207161008.440699,214531775.8995212,7370767.458822191,7370767.458822191,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0015
0.002,3.5,2,7131842.396749437,213062844.93807495,220194687.33482438,213062844.93807495,220194687.33482438,7131842.396749437,7131842.396749437,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0020
0.0025,3.5,2,7767160.8021630645,216687996.61459807,224455157.41676113,216687996.61459807,224455157.41676113,7767160.8021630645,7767160.8021630645,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0025
0.003,3.5,2,8522759.628551692,220123411.764598,228646171.3931497,220123411.764598,228646171.3931497,8522759.628551692,8522759.628551692,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0030
0.0035,3.5,1,9360836.764116138,223446907.57926378,232807744.3433799,223446907.57926378,232807744.3433799,9360836.764116138,9360836.764116138,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0035
0.004,3.5,1,9638376.80390498,226970616.8090791,236608993.6129841,226970616.8090791,236608993.6129841,9638376.80390498,9638376.80390498,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0040
0.0045,3.5,1,8485584.53786856,230083177.35768974,238568761.8955583,230083177.35768974,238568761.8955583,8485584.53786856,8485584.53786856,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_3.5MSUN_z0.0045
0.0015,4.0,2,5916375.552682817,151975652.08416998,157892027.6368528,151975652.08416998,157892027.6368528,5916375.552682817,5916375.552682817,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_mid/run_nad_convos_mid_4.0MSUN_z0.0015
