initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,max_log_L,max_log_Teff,max_log_R,first_model_number,last_model_number,first_age_yr,last_age_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration
0.0005,1.9,7.0,200.0,,,,,,,,648007700.0,648007900.0,648007700.0,648007900.0,200.0,200.0
0.0025,1.3,9.0,1000.0,,,,,,,,2158496000.0,2158497000.0,2158496000.0,2158497000.0,1000.0,1000.0
0.005,1.4,10.0,4000.0,,,,,,,,1967575000.0,1967579000.0,1967575000.0,1967579000.0,4000.0,4000.0
0.006,1.7,0.0,,,,,,,,,,,,,,
0.006,1.9,0.0,,,,,,,,,,,,,,
0.007,1.1,13.0,1000.0,,,,,,,,4726449000.0,4726450000.0,4726449000.0,4726450000.0,1000.0,1000.0
0.008,1.4,11.0,1000.0,,,,,,,,2240937000.0,2240938000.0,2240937000.0,2240938000.0,1000.0,1000.0
0.01,1.0,15.0,1000.0,,,,,,,,7727828000.0,7727829000.0,7727828000.0,7727829000.0,1000.0,1000.0
0.0135,1.3,,,,,,,,,,,,,,,
0.02,1.4,15.0,1000.0,,,,,,,,3268990000.0,3268991000.0,3268990000.0,3268991000.0,1000.0,1000.0
0.02,1.5,0.0,,,,,,,,,,,,,,
0.03,1.7,0.0,,,,,,,,,,,,,,
0.04,1.3,0.0,,,,,,,,,,,,,,
0.07,1.7,0.0,,,,,,,,,,,,,,
0.1,1.7,0.0,,,,,,,,,,,,,,
0.12,1.8,0.0,,,,,,,,,,,,,,
