initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.4,0.008,2240937000.0,41714,3.71768433,3.93007541,0.13145356
1.4,0.008,2240937000.0,41713,3.7176366,3.93000925,0.13132894
1.4,0.008,2240937000.0,41712,3.71761121,3.93001562,0.13122112
1.4,0.008,2240937000.0,41711,3.71759247,3.93002951,0.13113234
1.4,0.008,2240937000.0,41710,3.71757414,3.93005315,0.13103546
1.4,0.008,2240937000.0,41709,3.71754052,3.93007821,0.1308761
1.4,0.008,2240937000.0,41708,3.71751128,3.93004195,0.13079553
1.4,0.008,2240937000.0,41707,3.71747659,3.92996838,0.13073042
1.4,0.008,2240937000.0,41703,3.71737747,3.93003494,0.13026784
1.4,0.008,2240937000.0,41705,3.71745081,3.93010474,0.13049113
1.4,0.008,2240937000.0,41704,3.7174123,3.9300708,0.13037118
1.4,0.008,2240937000.0,41701,3.71733224,3.93006408,0.13005793
1.4,0.008,2240937000.0,41702,3.71735259,3.93004389,0.13015947
1.4,0.008,2240937000.0,41715,3.71769183,3.93001364,0.13154527
1.4,0.008,2240937000.0,41706,3.71745179,3.92997228,0.13062743
1.4,0.008,2240937000.0,41724,3.71791819,3.93002938,0.13243404
1.4,0.008,2240937000.0,41717,3.71772871,3.92996779,0.13173846
1.4,0.008,2240937000.0,41733,3.71812557,3.93001223,0.13327979
1.4,0.008,2240937000.0,41732,3.71809357,3.93001368,0.13315046
1.4,0.008,2240937000.0,41700,3.71730689,3.93002004,0.13000067
1.4,0.008,2240937000.0,41734,3.71814078,3.93000723,0.13334555
1.4,0.008,2240937000.0,41731,3.71807487,3.9300385,0.13305093
1.4,0.008,2240937000.0,41730,3.71805169,3.93000813,0.13298869
1.4,0.008,2240937000.0,41729,3.7180399,3.93005592,0.13289383
1.4,0.008,2240937000.0,41728,3.71800086,3.93003325,0.13276048
1.4,0.008,2240937000.0,41727,3.71796933,3.93001791,0.13264982
1.4,0.008,2240937000.0,41726,3.7179482,3.93003087,0.13255242
1.4,0.008,2240937000.0,41725,3.71793792,3.93005776,0.13248448
1.4,0.008,2240937000.0,41723,3.71787985,3.93000722,0.13230299
1.4,0.008,2240937000.0,41722,3.7178497,3.92999613,0.13219357
1.4,0.008,2240937000.0,41721,3.71782677,3.92998953,0.13210855
1.4,0.008,2240937000.0,41720,3.71780743,3.92998586,0.13203494
1.4,0.008,2240937000.0,41719,3.7178018,3.93005499,0.13194335
1.4,0.008,2240937000.0,41718,3.71776234,3.92999855,0.13184212
1.4,0.008,2240937000.0,41716,3.71770639,3.92998363,0.13163344
1.4,0.008,2240937000.0,41699,3.7172773,3.9300787,0.12982378
1.4,0.008,2240937000.0,41678,3.7167897,3.92999197,0.12796214
1.4,0.008,2240937000.0,41697,3.71722824,3.9300469,0.12965956
1.4,0.008,2240937000.0,41675,3.71672404,3.93002291,0.12766886
1.4,0.008,2240937000.0,41674,3.71669294,3.93001485,0.12755266
1.4,0.008,2240937000.0,41673,3.71667383,3.93003465,0.12745651
1.4,0.008,2240937000.0,41672,3.71665462,3.93001655,0.12739785
1.4,0.008,2240937000.0,41671,3.71664413,3.93005331,0.12731921
1.4,0.008,2240937000.0,41670,3.71660519,3.93001881,0.12719807
1.4,0.008,2240937000.0,41669,3.71658052,3.93004425,0.12707406
1.4,0.008,2240937000.0,41676,3.71676545,3.93008497,0.12777231
1.4,0.008,2240937000.0,41668,3.71654568,3.9299922,0.12698686
1.4,0.008,2240937000.0,41666,3.71652228,3.93006502,0.12682058
1.4,0.008,2240937000.0,41665,3.71648601,3.93002256,0.12671812
1.4,0.008,2240937000.0,41664,3.71646419,3.93003801,0.12661549
1.4,0.008,2240937000.0,41663,3.7164453,3.93003419,0.12654383
1.4,0.008,2240937000.0,41662,3.71642841,3.93005152,0.12645902
1.4,0.008,2240937000.0,41661,3.71639386,3.93006935,0.12630315
1.4,0.008,2240937000.0,41660,3.71636205,3.93003574,0.12620963
1.4,0.008,2240937000.0,41667,3.71652705,3.92999195,0.12691267
1.4,0.008,2240937000.0,41677,3.71676929,3.92999548,0.12787706
1.4,0.008,2240937000.0,41735,3.71815282,3.92998834,0.13341253
1.4,0.008,2240937000.0,41679,3.71681836,3.93003462,0.12803404
1.4,0.008,2240937000.0,41696,3.71720798,3.93001715,0.12960834
1.4,0.008,2240937000.0,41695,3.7171933,3.93003594,0.12953092
1.4,0.008,2240937000.0,41694,3.71715491,3.93002333,0.12939012
1.4,0.008,2240937000.0,41693,3.71713355,3.93006262,0.12926547
1.4,0.008,2240937000.0,41692,3.71710658,3.93001601,0.12920429
1.4,0.008,2240937000.0,41691,3.71709116,3.93002794,0.12913078
1.4,0.008,2240937000.0,41690,3.71708612,3.93009137,0.12904725
1.4,0.008,2240937000.0,41689,3.7170511,3.93004805,0.12895064
1.4,0.008,2240937000.0,41688,3.7170267,3.93003046,0.12887072
1.4,0.008,2240937000.0,41687,3.71699943,3.92997985,0.12881235
1.4,0.008,2240937000.0,41686,3.71697959,3.92997322,0.12873971
1.4,0.008,2240937000.0,41685,3.71697139,3.9300377,0.12864249
1.4,0.008,2240937000.0,41684,3.7169428,3.9300615,0.12850446
1.4,0.008,2240937000.0,41683,3.71690876,3.93001015,0.12841976
1.4,0.008,2240937000.0,41682,3.71688806,3.93003878,0.12830842
1.4,0.008,2240937000.0,41681,3.71686126,3.93003531,0.12820476
1.4,0.008,2240937000.0,41680,3.71684402,3.93001623,0.12815495
1.4,0.008,2240937000.0,41698,3.71724699,3.93004877,0.12973258
1.4,0.008,2240937000.0,41736,3.71817699,3.93002297,0.13347449
1.4,0.008,2240937000.0,41759,3.71893524,3.93005067,0.13647697
1.4,0.008,2240937000.0,41738,3.71824073,3.93009455,0.13365761
1.4,0.008,2240937000.0,41796,3.71988113,3.93007119,0.14023619
1.4,0.008,2240937000.0,41795,3.71983974,3.93002753,0.14011445
1.4,0.008,2240937000.0,41794,3.71981242,3.93003734,0.13999546
1.4,0.008,2240937000.0,41793,3.71979016,3.9300193,0.13992456
1.4,0.008,2240937000.0,41792,3.7197664,3.92998211,0.1398668
1.4,0.008,2240937000.0,41791,3.71975506,3.93003281,0.1397708
1.4,0.008,2240937000.0,41790,3.71972045,3.93003539,0.13962992
1.4,0.008,2240937000.0,41797,3.71988802,3.92998882,0.14034605
1.4,0.008,2240937000.0,41789,3.71969334,3.9300231,0.13953389
1.4,0.008,2240937000.0,41787,3.71965578,3.93007409,0.13933282
1.4,0.008,2240937000.0,41786,3.71961164,3.93004943,0.13918109
1.4,0.008,2240937000.0,41785,3.71957766,3.93004563,0.1390491
1.4,0.008,2240937000.0,41784,3.71954395,3.92999932,0.13896069
1.4,0.008,2240937000.0,41783,3.71952471,3.93001186,0.13887128
1.4,0.008,2240937000.0,41782,3.71951027,3.93002084,0.13880458
1.4,0.008,2240937000.0,41781,3.71948974,3.93001045,0.13873295
1.4,0.008,2240937000.0,41788,3.71966701,3.92999862,0.13945312
1.4,0.008,2240937000.0,41780,3.71945646,3.93000689,0.13860349
1.4,0.008,2240937000.0,41798,3.71991134,3.93000225,0.14042582
1.4,0.008,2240937000.0,41800,3.71996635,3.9300367,0.1406112
1.4,0.008,2240937000.0,41814,3.72052809,3.93002422,0.14286861
1.4,0.008,2240937000.0,41659,3.71633751,3.93001503,0.12613228
1.4,0.008,2240937000.0,41815,3.72054006,3.92999699,0.14294362
1.4,0.008,2240937000.0,41813,3.72045658,3.93006726,0.14253976
1.4,0.008,2240937000.0,41812,3.72040003,3.93006854,0.14231252
1.4,0.008,2240937000.0,41811,3.7203449,3.93000505,0.14215566
1.4,0.008,2240937000.0,41810,3.7203025,3.93001563,0.14197565
1.4,0.008,2240937000.0,41799,3.71994048,3.93005711,0.14048742
1.4,0.008,2240937000.0,41809,3.72027088,3.93004822,0.1418167
1.4,0.008,2240937000.0,41807,3.72021676,3.92999841,0.14165024
1.4,0.008,2240937000.0,41806,3.72019495,3.92997656,0.14158491
1.4,0.008,2240937000.0,41805,3.72019138,3.93006482,0.14148243
1.4,0.008,2240937000.0,41804,3.72014635,3.93002727,0.14134
1.4,0.008,2240937000.0,41803,3.72011268,3.92998135,0.14125136
1.4,0.008,2240937000.0,41802,3.72005059,3.93002831,0.14095623
1.4,0.008,2240937000.0,41801,3.72000792,3.930066,0.14074802
1.4,0.008,2240937000.0,41808,3.72023732,3.92999938,0.1417314
1.4,0.008,2240937000.0,41779,3.71942855,3.92999171,0.13850716
1.4,0.008,2240937000.0,41778,3.7194164,3.9300318,0.13841853
1.4,0.008,2240937000.0,41777,3.71939808,3.93003819,0.13833896
1.4,0.008,2240937000.0,41754,3.71872597,3.93005995,0.13563125
1.4,0.008,2240937000.0,41753,3.71870327,3.93003918,0.1355613
1.4,0.008,2240937000.0,41752,3.71867293,3.93008732,0.13539192
1.4,0.008,2240937000.0,41751,3.71863519,3.93001109,0.13531735
1.4,0.008,2240937000.0,41750,3.718605,3.92998687,0.13522088
1.4,0.008,2240937000.0,41749,3.71858597,3.93002832,0.1351034
1.4,0.008,2240937000.0,41748,3.71855438,3.93004399,0.13496147
1.4,0.008,2240937000.0,41755,3.71877602,3.93006652,0.13582478
